urban_treated,urban_control,rural_treated,rural_control,,A列平均值,139.1526316,,144.0716269,,,
47,,1,,,,,,,,,
78,,0,,,,,,,,,
33,,1,,,,,,,,,
16,,19,,,,,,,,,
29,,4,,,,,,,,,
83,,5,,,,,,,,,
49,,6,,,,,,,,,
469,,14,,,,,,,,,
281,,1,,,,,,,,,
70,,0,,,,,,,,,
617,,7,,,,,,,,,
217,,4,,,,,,,,,
26,,7,,,,,,,,,
22,,0,,,,,,,,,
226,,0,,,,,,,,,
63,,5,,,,,,,,,
115,,0,,,,,,,,,
107,,0,,,,,,,,,
83,,17,,,,,,,,,
3,,35,,,,,,,,,
66,,2,,,,,,,,,
81,,1,,,,,,,,,
18,,1,,,,,,,,,
6,,3,,,,,,,,,
2,,7,,,,,,,,,
338,,3,,,,,,,,,
425,,29,,,,,,,,,
0,,25,,,,,,,,,
7,,7,,,,,,,,,
162,,0,,,,,,,,,
17,,1,,,,,,,,,
56,,3,,,,,,,,,
204,,11,,,,,,,,,
36,,0,,,,,,,,,
0,,0,,,,,,,,,
18,,4,,,,,,,,,
204,,4,,,,,,,,,
19,,2,,,,,,,,,
7,,1,,,,,,,,,
26,,2,,,,,,,,,
115,,2,,,,,,,,,
129,,2,,,,,,,,,
346,,1,,,,,,,,,
37,,8,,,,,,,,,
248,,6,,,,,,,,,
64,,1,,,,,,,,,
1,,0,,,,,,,,,
148,,3,,,,,,,,,
19,,2,,,,,,,,,
5,,10,,,,,,,,,
0,,5,,,,,,,,,
21,,15,,,,,,,,,
477,,0,,,,,,,,,
135,,0,,,,,,,,,
262,,13,,,,,,,,,
41,,15,,,,,,,,,
295,,18,,,,,,,,,
72,,7,,,,,,,,,
247,,61,,,,,,,,,
263,,0,,,,,,,,,
176,,25,,,,,,,,,
102,,3,,,,,,,,,
0,,1,,,,,,,,,
50,,11,,,,,,,,,
114,,6,,,,,,,,,
91,,30,,,,,,,,,
212,,2,,,,,,,,,
57,,2,,,,,,,,,
106,,7,,,,,,,,,
53,,12,,,,,,,,,
0,,0,,,,,,,,,
1409,,6,,,,,,,,,
73,,4,,,,,,,,,
28,,21,,,,,,,,,
185,,15,,,,,,,,,
236,,10,,,,,,,,,
0,,71,,,,,,,,,
161,,4,,,,,,,,,
0,,10,,,,,,,,,
173,,8,,,,,,,,,
88,,28,,,,,,,,,
94,,0,,,,,,,,,
83,,87,,,,,,,,,
44,,11,,,,,,,,,
45,,4,,,,,,,,,
8,,11,,,,,,,,,
14,,40,,,,,,,,,
39,,4,,,,,,,,,
0,,6,,,,,,,,,
35,,168,,,,,,,,,
112,,19,,,,,,,,,
326,,40,,,,,,,,,
53,,45,,,,,,,,,
330,,13,,,,,,,,,
29,,47,,,,,,,,,
167,,0,,,,,,,,,
173,,17,,,,,,,,,
0,,22,,,,,,,,,
43,,0,,,,,,,,,
